MARCA ,TEMPORADA ,PROVEEDOR,CATEGORIA ,INFO GRAL.,CODIGO EAN ,DESCRIPCIÓN ,COLOR/WASH,CANTIDAD,ORIGEN,COSTO ESTIMADO ,PVP SUGERIDO B2C,PVP SUGERIDO B2B,MARGEN B2C,MARGEN B2B,FECHA APROXIMADA DE ARRIBO
LEE,SS26/27,RADISSON GARMENTS LIMITED,Camisa,Marilyn Monroe Collab,,BOYFRIEND SHIRT,Peach Bud,100,Bangladesh ,$16.41,"339,000  ",,67%,,Julio
LEE,SS26/27,"Qingdao Snpiec Fashions Co., Ltd.",Vestido ,Marilyn Monroe Collab,,Halter Dress,Ice storm,43,China ,$42.17,"859,000  ",,67%,,Julio
LEE,SS26/27,Babylon Garments Ltd,Vestido ,Marilyn Monroe Collab,,Halter Dress,Black Beauty ,48,Bangladesh ,$31.44,"649,000  ",,67%,,Julio
LEE,SS26/27,"HANGZHOU SANJING KNITTING, Co. LTD",Cárdigan ,Marilyn Monroe Collab,,SWEATER CARDIGAN,TURTLEDOVE HEATHER,60,China ,$30.04,"609,000  ",,66%,,Julio
LEE,SS26/27,MASCO INDUSTRIES LIMITED COMPOSITE KNIT GARMENTS,Remera ,Marilyn Monroe Collab,,GIRLFRIEND FIT TEE ,Star White,150,Bangladesh ,$11.13,"229,000  ",,67%,,Julio
LEE,SS26/27,MASCO INDUSTRIES LIMITED COMPOSITE KNIT GARMENTS,Remera ,Marilyn Monroe Collab,,GIRLFRIEND FIT TEE ,Peach Bud,150,Bangladesh ,$11.13,"229,000  ",,67%,,Julio
LEE,SS26/27,MASCO INDUSTRIES LIMITED COMPOSITE KNIT GARMENTS,Remera ,Marilyn Monroe Collab,,GIRLFRIEND FIT TEE ,Black Beauty,150,Bangladesh ,$11.13,"229,000  ",,67%,,Julio
LEE,SS26/27,MEGHNA KNIT COMPOSITE LTD,Remera ,Marilyn Monroe Collab,,BABY TEE,Red/White Stripe,100,Bangladesh ,$7.91,"189,000  ",,72%,,Julio
LEE,SS26/27,MEGHNA KNIT COMPOSITE LTD,SweatShirt,Marilyn Monroe Collab,,CREW SWEATSHIRT,WHITE STAR ,102,Bangladesh ,$19.71,"399,000  ",,66%,,Julio
LEE,SS26/27,MEGHNA KNIT COMPOSITE LTD,SweatShirt,Marilyn Monroe Collab,,CREW SWEATSHIRT,MID GREY MELE,102,Bangladesh ,$19.71,"399,000  ",,66%,,Julio
LEE,SS26/27,MEGHNA KNIT COMPOSITE LTD,SweatShirt,Marilyn Monroe Collab,,CREW SWEATSHIRT,BLACK BEAUTY ,102,Bangladesh ,$19.71,"399,000  ",,66%,,Julio
LEE,SS26/27,MEGHNA KNIT COMPOSITE LTD,SweatShirt,Marilyn Monroe Collab,,CREW SWEATSHIRT,HIGH RISK RED ,76,Bangladesh ,$19.71,"399,000  ",,66%,,Julio
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater cuello polo ,Marrón,100,China ,$10.92,"245,000  ","171,500",70%,55%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater cuello polo ,Beige,100,China ,$10.92,"245,000  ","171,500",70%,55%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater cuello polo ,Azul Marino ,100,China ,$10.92,"245,000  ","171,500",70%,55%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater escote en V ,Gris,200,China ,$10.64,"250,000  ","175,000",71%,57%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater escote en V ,Grafitto ,200,China ,$10.64,"250,000  ","175,000",71%,57%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater escote en V ,Negro,200,China ,$10.64,"250,000  ","175,000",71%,57%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater cuello redondo ,Bordó,200,China ,$10.64,"250,000  ","175,000",71%,57%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater cuello redondo ,Celeste,200,China ,$10.64,"250,000  ","175,000",71%,57%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater cuello redondo ,Motaza,200,China ,$10.64,"250,000  ","175,000",71%,57%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater medio cierre ,Verde Botella,200,China ,$14.00,"285,000  ","199,500",67%,51%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater medio cierre ,Azul Marino ,200,China ,$14.00,"285,000  ","199,500",67%,51%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Sweater medio cierre ,Ladrillo ,200,China ,$14.00,"285,000  ","199,500",67%,51%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Chaleco cuello V ,Negro,200,China ,$11.06,"220,000  ","154,000",66%,50%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Chaleco cuello V ,Beige,200,China ,$11.06,"220,000  ","154,000",66%,50%,Marzo 
Martel ,FW26,FLOW TRADER ,Sweater ,,,Chaleco cuello V ,Azul,200,China ,$11.06,"220,000  ","154,000",66%,50%,Marzo 
Martel ,FW26,FLOW TRADER ,Abrigo ,,,Chaleco doble faz ,Azul marino ,150,China ,$11.90,"249,000  ","174,300",68%,52%,Marzo 
Martel ,FW26,FLOW TRADER ,Abrigo ,,,Chaleco doble faz ,Azul marino ,150,China ,$11.90,"249,000  ","174,300",68%,52%,Marzo 
Martel ,FW26,LA MARTINGALA ,Accesorio ,,,Cinto trenzado ,Negro,300,China ,$6.86,"159,000  ","111,300",71%,57%,Marzo 
Martel ,FW26,LA MARTINGALA ,Accesorio ,,,Cinto trenzado ,Azul Marino ,300,China ,$6.86,"159,000  ","111,300",71%,57%,Marzo 
Martel ,FW26,LA MARTINGALA ,Accesorio ,,,Cinto trenzado ,Verde Oliva ,300,China ,$6.86,"159,000  ","111,300",71%,57%,Marzo 
Martel ,FW26,LA MARTINGALA ,Accesorio ,,,Necesaire Ecocuero ,Negro ,300,China ,$10.64,"219,000  ","153,300",67%,51%,Marzo 
Martel ,FW26,LA MARTINGALA ,Accesorio ,,,Mochila Ecocuero ,Negro ,200,China ,$20.16,"389,000  ","272,300",65%,48%,Marzo 
Martel ,FW26,LA MARTINGALA ,Accesorio ,,,Cinto de cuero ,Tostado ,300,India,$9.10,"225,000  ","157,500",72%,60%,Marzo 
Martel ,FW26,LA MARTINGALA ,Accesorio ,,,Cinto de cuero ,Marrón,300,India,$9.10,"225,000  ","157,500",72%,60%,Marzo 
Martel ,FW26,LA MARTINGALA ,Accesorio ,,,Cinto de cuero ,Negro,300,India,$9.10,"225,000  ","157,500",72%,60%,Marzo 
Wrangler ,FW27,SDC,Camisa,FW27 - Lanzamiento,,1 PKT SHIRT,KANGAROO PLAID,400,Bangladesh ,,,,,,
Wrangler ,FW27,Dekko,Pantalón,FW27 - Lanzamiento,,DOUBLE KNEE CARPENTER,JET BLACK 19-0303 TCX,300,Bangladesh ,,,,,,
Wrangler ,FW27,Dekko,Camisa,FW27 - Lanzamiento,,EXAGGERATED WESTERN,WORN LEGACY,300,Bangladesh ,,,,,,
Wrangler ,FW27,Sainty,Campera,FW27 - Lanzamiento,,FAUX LEATHER WRANGE,MEDIUM BROWN,150,Bangladesh ,,,,,,
Wrangler ,FW27,US apparel,Pantalón,FW27 - Lanzamiento,,FRONTIER,DUNE BREAK,300,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Pantalón,FW27 - Lanzamiento,,GREENSBORO,DUSTY OLIVE,400,Bangladesh ,,,,,,
Wrangler ,FW27,US Apparel,Vaquero ,FW27 - Lanzamiento,,GREENSBORO,VEIL,400,Bangladesh ,,,,,,
Wrangler ,FW27,US Apparel,Vaquero ,FW27 - Lanzamiento,,GREENSBORO,IRON SMOKE,400,Bangladesh ,,,,,,
Wrangler ,FW27,US Apparel,Vaquero ,FW27 - Lanzamiento,,GREENSBORO,FROZEN NIGHT,400,Bangladesh ,,,,,,
Wrangler ,FW27,US Apparel,Vaquero ,FW27 - Lanzamiento,,GREENSBORO,MIST,400,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,GREENSBORO COSMIC BLUE,COSMIC BLUE,400,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Pantalón,FW27 - Lanzamiento,,GREENSBORO NAVY,NAVY,400,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,LARSTON SLIM TAPER JEAN,MOONLIT,300,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,LARSTON SLIM TAPER JEAN,LIGHTNING,300,Bangladesh ,,,,,,
Wrangler ,FW27,"BDC (Fit sample) 
US apparel (SMS)",Pantalón,FW27 - Lanzamiento,,PEAKED YOKE CANYON,WORN LEGACY,200,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,TEXAS - AUTHENTIC STRAIGHT,LIGHTNING,300,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,TEXAS - AUTHENTIC STRAIGHT,TEXAS SKY,300,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,TEXAS - AUTHENTIC STRAIGHT,LOWTIDE,300,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,TEXAS SLIM - AUTHENTIC SLIM,MOONLIT,400,Bangladesh ,,,,,,
Wrangler ,FW27,US Apparel,Vaquero ,FW27 - Lanzamiento,,TEXAS SLIM - AUTHENTIC SLIM,SUN LIT,400,Bangladesh ,,,,,,
Wrangler ,FW27,Newage,Camisa,FW27 - Lanzamiento,,WESTERN SHIRT,SOFT BROWN PLAID,300,Bangladesh ,,,,,,
Wrangler ,FW27,Radisson Garment,Camisa,FW27 - Lanzamiento,,WESTERN SHIRT,HEATHERED INDIGO PLAID,400,Bangladesh ,,,,,,
Wrangler ,FW27,US APPAREL,Pantalón,FW27 - Lanzamiento,,WRANCHER,GLACIER BLUE,300,Bangladesh ,,,,,,
Wrangler ,FW27,Snowtex,Campera,FW27 - Lanzamiento,,WRANGE COAT,CHOCOLATE TORTE 19-1109 TCX,150,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,LARSTON SLIM TAPER JEAN,TEXAS SKY,300,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,FRONTIER RELAXED STRAIGHT,MORNING WASH,400,Bangladesh ,,,,,,
Wrangler ,FW27,US Apparel,Vaquero ,FW27 - Lanzamiento,,FRONTIER RELAXED STRAIGHT,STARLIT,400,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,"LOOSE STRAIGHT WITH WESTERN DOUBLE KNEE

INDIGO DOBBY",DARK INDIGO,300,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,LOOSE STRAIGHT,HORSEPOWER PRINT,300,Bangladesh ,,,,,,
Wrangler ,FW27,AM,Vaquero ,FW27 - Lanzamiento,,SLIM SEAMED JACKET,DARK ORBIT,300,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,SHERPA LINED ANTI-FIT JACKET,NIGHT SKY,150,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,SHERPA LINED CLASSIC JACKET,ORION,150,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,REG FIT LS POLO - D2,BLACK,300,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,REG FIT LS POLO - D2,CHOCOLATE TORTE,300,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,REG FIT LS POLO - D2,ROSIN,300,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,REG FIT LS POLO - D2,BERING SEA,300,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,REG FIT SS POLO - D1,CHOCOLATE TORTE,300,Bangladesh ,,,,,,
Wrangler ,FW27,Sunten,Remera ,FW27 - Lanzamiento,,REG FIT CORE SWEATER - D2,DARK SAPPHIRE,300,Bangladesh ,,,,,,
Wrangler ,FW27,Sunten,Remera ,FW27 - Lanzamiento,,REG FIT CORE SWEATER - D2,CHOCOLATE TORTE,300,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,HEAVYWEIGHT TEE,NAVY,300,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,HEAVYWEIGHT TEE,VINTAGE WHITE,300,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,HEAVYWEIGHT TEE,BLACK,300,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,CJ POCKET TEE,FADED BLACK,300,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,CJ POCKET TEE,WORN WHITE,300,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,SIGN OFF HOODIE,FADED BLACK,200,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,SIGN OFF CREW,NAVY,200,Bangladesh ,,,,,,
Wrangler ,FW27,Cotton Club,Remera ,FW27 - Lanzamiento,,SIGN OFF CREW,BLACK,200,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,MR RAINBOW FLARE,OFF TO THE RACES,400,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,RAINBOW FLARE,DARK BLACK,400,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,SIENNA,NIGHTSHADE,400,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,WRANCHER,TIERRA TINGE,400,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,LOOSE STRAIGHT,HORSEPOWER PRINT,400,Bangladesh ,,,,,,
Wrangler ,FW27,Kenpark,Vaquero ,FW27 - Lanzamiento,,MID-RISE RELAXED,IMPERIAL BLUE,400,Bangladesh ,,,,,,
Wrangler ,FW27,AM,Vaquero ,FW27 - Lanzamiento,,SLIM SEAMED JACKET,DARK ORBIT,400,Bangladesh ,,,,,,
Wrangler ,FW27,Radisson Casual,Vaquero ,FW27 - Lanzamiento,,SUPER JACKET,COWBOY FADE,400,Bangladesh ,,,,,,
Wrangler ,FW27,Sunten,Sweater ,FW27 - Lanzamiento,,BALLOON SLV SWEATER,DAHLIA,300,Bangladesh ,,,,,,
Wrangler ,FW27,Sunten,Sweater ,FW27 - Lanzamiento,,BALLOON SLV SWEATER,BLACK,300,Bangladesh ,,,,,,
Wrangler ,FW27,Sunten,Sweater ,FW27 - Lanzamiento,,WESTERN CARDIGAN,PEBBLE,200,Bangladesh ,,,,,,
Wrangler ,FW27,Sunten,Sweater ,FW27 - Lanzamiento,,WESTERN CARDIGAN,POTENT PURPLE,200,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,GIRLFRIEND FIT SS TEE,CHILI PEPPER,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,GIRLFRIEND FIT SS TEE,FADED BLACK,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,GIRLFRIEND FIT SS TEE,WORN WHITE,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,OVERSIZED FIT SS TEE,JET BLACK,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,REGULAR FIT SS RINGER TEE,KEEPSAKE LILAC,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,REGULAR FIT SS RINGER TEE,DAHLIA,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,REGULAR FIT SS TEE,WORN WHITE,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,REGULAR FIT SS TEE,FADED BLACK,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,SHRUNKEN BND SS TEE,EGRET,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,SHRUNKEN BND SS TEE,BLACK BEAUTY,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,SHRUNKEN BND SS TEE,JET BLACK,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,SHRUNKEN BND SS TEE,EGRET,300,Bangladesh ,,,,,,
Wrangler ,FW27,COTTON CLUB,Remera ,FW27 - Lanzamiento,,SHRUNKEN BND SS TEE,CHILI PEPPER,300,Bangladesh ,,,,,,
