MARCA ,TEMPORADA ,PROVEEDOR,CATEGORIA ,INFO GRAL.,CODIGO EAN ,DESCRIPCIÓN ,COLOR/WASH,CANTIDAD,ORIGEN,COSTO ESTIMADO ,PVP SUGERIDO B2C,PVP SUGERIDO B2B,MARGEN B2C,MARGEN B2B,FECHA APROXIMADA DE ARRIBO
Wrangler ,SS26/27,KENPARK,Vaquero ,,,High Rise 70s Flare ,Western Nightfall,450,Bangladesh ,$19.55,"410,000  ","287,000",68%,52%,3/5/2026
Wrangler ,SS26/27,KENPARK,Vaquero ,,,River ,Outlaw ,450,Bangladesh ,$21.77,"459,000  ","321,300",68%,53%,3/5/2026
Wrangler ,SS26/27,KENPARK,Vaquero ,,,Texas Authentic ,Raven Ash,450,Bangladesh ,$21.77,"459,000  ","321,300",68%,53%,3/5/2026
Wrangler ,SS26/27,KENPARK,Vaquero ,,,Texas Slim ,Harbor Blue ,450,Bangladesh ,$20.91,"439,000  ","307,300",68%,52%,3/5/2026
Wrangler ,SS26/27,KENPARK,Vaquero ,,,Texas Slim ,Blue Jam ,450,Bangladesh ,$22.11,"465,000  ","325,500",68%,52%,3/5/2026
Wrangler ,SS26/27,KENPARK,Vaquero ,,,Loose Boot,Harbor Blue ,450,Bangladesh ,$21.44,"450,000  ","315,000",68%,52%,3/5/2026
Wrangler ,SS26/27,KENPARK,Bermuda,,,13MWZ Short,Dawn ,295,Bangladesh ,$16.50,"349,000  ","244,300",68%,53%,3/5/2026
Wrangler ,SS26/27,KENPARK,Vaquero ,,,Wrancher ,Harbor Blue ,295,Bangladesh ,$20.91,"439,000  ","307,300",68%,52%,3/5/2026
Wrangler ,SS26/27,Radisson Garments ,Vaquero ,,,Wrapped 70s Flare,Hazy Horizon ,210,Bangladesh ,$21.20,"445,000  ","311,500",68%,52%,3/5/2026
Wrangler ,SS26/27,Pacific Jeans ,Vaquero ,,,Loose Straight ,Dove Wing,174,Bangladesh ,$19.96,"419,000  ","293,300",68%,52%,3/5/2026
